"","Player_Name","DOB","Position"
"5125","Dimitri Liénard","1988-02-13","CM"
"5126","Dimitri Liénard","1988-02-13","DM"
"5127","Jean-Ricner Bellegarde","1998-06-27","DM"
"5128","Jean-Ricner Bellegarde","1998-06-27","RW"
"5129","Maxime Le Marchand","1989-10-10","LB"
"5130","Ludovic Ajorque","1994-02-25","AM"
"5131","Ludovic Ajorque","1994-02-25","LW"
"5132","Thomas Delaine","1992-03-23","LB"
"5133","Karol Fila","1998-06-13","RB"
"5134","Habib Diallo","1995-06-18","DM"
"5135","Chrislain Matsima","2002-05-15","CM"
"5136","Vanderson","2001-06-20","RW"
"5137","Mattéo Guendouzi","1999-04-14","RW"
"5138","Jonathan Clauss","1992-09-24","RM"
"5139","Nuno Tavares","2000-01-26","LM"
"5140","Amine Harit","1997-06-17","LW"
"5141","Dimitri Payet","1987-03-29","LW"
"5142","Bamba Dieng","2000-03-22","RM"
"5143","Cengiz Ünder","1997-07-13","RW"
"5144","Emil Audero","1997-01-17","GK"
"5145","Tommaso Augello","1994-08-30","LB"
"5146","Filip Đuričić","1992-01-30","LM"
"5147","Tomás Rincón","1988-01-13","CM"
"5148","Francesco Caputo","1987-08-06","FW"
"5149","Abdelhamid Sabiri","1996-11-27","CM"
"5150","Ronaldo Vieira","1998-07-19","DM"
"5151","Omar Colley","1992-10-23","CB"
"5152","Bartosz Bereszyński","1992-07-11","RB"
"5153","Alex Ferrari","1994-07-01","CB"
"5154","Mehdi Léris","1998-05-23","RM"
"5155","Valerio Verre","1994-01-11","LM"
"5156","Manuel De Luca","1998-07-17","FW"
"5157","Fabio Depaoli","1997-04-23","RB"
"5158","Jeison Murillo","1992-05-26","CB"
"5159","Fabio Quagliarella","1983-01-31","RM"
"5160","Juan Musso","1994-05-06","GK"
"5161","Rafael Tolói","1990-10-10","CB"
"5162","Joakim Mæhle","1997-05-19","WB"
"5163","Caleb Okoli","2001-07-12","CB"
"5164","Teun Koopmeiners","1998-02-28","CM"
"5165","Luis Muriel","1991-04-16","FW"
"5166","Marten de Roon","1991-03-29","CM"
"5167","Berat Djimsiti","1993-02-18","CB"
"5168","Hans Hateboer","1994-01-09","WB"
"5169","Mario Pašalić","1995-02-09","AM"
"5170","Duván Zapata","1991-04-01","FW"
"5171","Ademola Lookman","1997-10-20","FW"
"5172","Ruslan Malinovskyi","1993-05-03","AM"
"5173","Nadir Zortea","1999-06-19","WB"
"5174","Giorgio Scalvini","2003-12-11","CB"
"5175","Mike Maignan","1995-07-03","GK"
"5176","Davide Calabria","1996-12-05","RB"
"5177","Ismaël Bennacer","1997-12-01","DM"
"5178","Brahim Díaz","1999-08-03","AM"
"5179","Ante Rebić","1993-09-21","FW"
"5180","Rafael Leão","1999-06-10","LW"
"5181","Theo Hernández","1997-10-06","LB"
"5182","Pierre Kalulu","2000-06-04","CB"
"5183","Fikayo Tomori","1997-12-19","CB"
"5184","Junior Messias","1991-05-13","RW"
"5185","Rade Krunić","1993-10-07","DM"
"5186","Olivier Giroud","1986-09-30","FW"
"5187","Divock Origi","1995-04-18","LW"
"5188","Tommaso Pobega","1999-07-15","DM"
"5189","Alexis Saelemaekers","1999-06-27","RW"
"5190","Charles De Ketelaere","2001-03-09","AM"
"5191","Marco Silvestri","1991-03-02","GK"
"5192","Adam Masina","1994-01-02","WB"
"5193","Jean-Victor Makengo","1998-06-12","CM"
"5194","Isaac Success","1996-01-07","FW"
"5195","Gerard Deulofeu","1994-03-13","FW"
"5196","Walace","1995-04-04","CM"
"5197","Bram Nuytinck","1990-05-04","CB"
"5198","Nehuén Pérez","2000-06-23","CB"
"5199","Roberto Pereyra","1991-01-07","CM"
"5200","Rodrigo Becão","1996-01-19","CB"
"5201","Brandon Soppy","2002-02-21","WB"
"5202","Festy Ebosele","2002-08-02","WB"
"5203","Sandi Lovrić","1998-03-28","CM"
"5204","Beto","1998-01-31","FW"
"5205","Enzo Ebosse","1999-03-11","CB"
"5206","Lazar Samardzic","2002-02-24","CM"
"5207","Michele Di Gregorio","1997-07-26","GK"
"5208","Pablo Marí","1993-08-31","CB"
"5209","Marlon","1995-09-07","CB"
"5210","Andrea Barberis","1993-12-11","CM"
"5211","Mattia Valoti","1993-09-06","CM"
"5212","Gianluca Caprari","1993-07-29","FW"
"5213","Samuele Birindelli","1999-07-19","WB"
"5214","Filippo Ranocchia","2001-05-13","CM"
"5215","Carlos","1999-01-07","CB"
"5216","Andrea Petagna","1995-06-30","FW"
"5217","Marco D'Alessandro","1991-02-17","WB"
"5218","Christian Gytkjær","1990-05-06","CM"
"5219","Stefano Sensi","1995-08-05","FW"
"5220","Andrea Carboni","2001-02-03","CB"
"5221","Dany Mota","1998-05-02","FW"
"5222","Patrick Ciurria","1995-02-09","CM"
"5223","Vanja Milinković-Savić","1997-02-19","GK"
"5224","Antonio Sanabria","1996-03-03","FW"
"5225","Ricardo Rodríguez","1992-08-24","CB"
"5226","Wilfried Singo","2000-12-24","WB"
"5227","Michel Ndary Adopo","2000-07-18","CB"
"5228","Koffi Djidji","1992-11-29","CB"
"5229","Samuele Ricci","2001-08-21","CM"
"5230","Ola Aina","1996-10-07","WB"
"5231","Nemanja Radonjić","1996-02-15","AM"
"5232","Aleksei Miranchuk","1995-10-17","AM"
"5233","Karol Linetty","1995-02-02","CM"
"5234","Jacopo Segre","1997-02-16","CB"
"5235","Emirhan İlkhan","2004-05-31","CM"
"5236","Nikola Vlašić","1997-10-04","AM"
"5237","Valentino Lazaro","1996-03-23","WB"
"5238","Wladimiro Falcone","1995-04-12","GK"
"5239","Yıldırım Mert Çetin","1996-12-31","CB"
"5240","Federico Baschirotto","1996-09-19","CB"
"5241","Kristijan Bistrović","1998-04-09","RM"
"5242","Federico Di Francesco","1994-06-14","LW"
"5243","Joan Gonzàlez","2002-02-01","LM"
"5244","Valentin Gendrey","2000-06-20","RB"
"5245","Antonino Gallo","2000-01-05","LB"
"5246","Gabriel Strefezza","1997-04-17","RW"
"5247","Morten Hjulmand","1999-06-25","CM"
"5248","Assan Ceesay","1994-03-17","FW"
"5249","Lorenzo Colombo","2002-03-08","FW"
"5250","Þórir Jóhann Helgason","2000-09-27","LM"
"5251","Marcin Listkowski","1998-02-10","RM"
"5252","Lameck Banda","2001-01-28","LW"
"5253","Alexis Blin","1996-09-15","CB"
"5254","Samir Handanović","1984-07-13","GK"
"5255","Stefan de Vrij","1992-02-05","CB"
"5256","Robin Gosens","1994-07-05","WB"
"5257","Lautaro Martínez","1997-08-22","FW"
"5258","Lautaro Martínez","1997-08-22","AM"
"5259","Lautaro Martínez","1997-08-22","RM"
"5260","Hakan Çalhanoğlu","1994-02-08","CM"
"5261","Nicolò Barella","1997-02-06","CM"
"5262","Federico Dimarco","1997-11-10","CB"
"5263","Federico Dimarco","1997-11-10","WB"
"5264","Federico Dimarco","1997-11-10","LB"
"5265","Matteo Darmian","1989-12-02","WB"
"5266","Milan Škriniar","1995-02-11","CB"
"5267","Marcelo Brozović","1992-11-15","CM"
"5268","Romelu Lukaku","1993-05-12","FW"
"5269","Denzel Dumfries","1996-04-17","WB"
"5270","Denzel Dumfries","1996-04-17","RB"
"5271","Edin Džeko","1986-03-17","FW"
"5272","Joaquín Correa","1994-08-13","LM"
"5273","Henrikh Mkhitaryan","1989-01-20","CM"
"5274","Alessandro Bastoni","1999-04-13","CB"
"5275","Pierluigi Gollini","1995-03-18","GK"
"5276","Cristiano Biraghi","1992-08-31","LB"
"5277","Nikola Milenković","1997-10-12","CB"
"5278","Giacomo Bonaventura","1989-08-22","RM"
"5279","Luka Jović","1997-12-23","FW"
"5280","Youssef Maleh","1998-08-22","LM"
"5281","Marco Benassi","1994-09-08","RB"
"5282","Lucas Martínez Quarta","1996-05-09","CB"
"5283","Riccardo Sottil","1999-06-03","LW"
"5284","Sofyan Amrabat","1996-08-20","CM"
"5285","Christian Kouamé","1997-12-06","RW"
"5286","Dodô","1998-11-17","RB"
"5287","Riccardo Saponara","1991-12-21","LW"
"5288","Riccardo Saponara","1991-12-21","RW"
"5289","Nicolás González","1998-04-06","RW"
"5290","Nicolás González","1998-04-06","LW"
"5291","Szymon Żurkowski","1997-09-25","LM"
"5292","Rolando Mandragora","1997-06-28","CM"
"5293","Ionuț Radu","1997-05-27","GK"
"5294","Johan Vásquez","1998-10-22","CB"
"5295","Charles Pickel","1997-05-14","CM"
"5296","Charles Pickel","1997-05-14","RM"
"5297","Matteo Bianchetti","1993-03-16","CB"
"5298","Leonardo Sernicola","1997-07-29","WB"
"5299","Paolo Ghiglione","1997-02-01","WB"
"5300","Paolo Ghiglione","1997-02-01","RB"
"5301","Vlad Chiricheș","1989-11-14","CB"
"5302","Gonzalo Escalante","1993-03-26","CM"
"5303","David Okereke","1997-08-29","FW"
"5304","David Okereke","1997-08-29","AM"
"5305","Cyriel Dessers","1994-12-08","FW"
"5306","Luca Zanimacchia","1998-07-19","LM"
"5307","Luca Zanimacchia","1998-07-19","AM"
"5308","Emanuel Aiwum","2000-12-24","RB"
"5309","Santiago Ascacíbar","1997-02-24","CM"
"5310","Cristian Buonaiuto","1992-12-28","RM"
"5311","Samuel Di Carmine","1988-09-28","AM"
"5312","Giacomo Quagliata","2000-02-19","LB"
"5313","Luís Maximiano","1999-01-05","GK"
"5314","Patric","1993-04-16","CB"
"5315","Felipe Anderson","1993-04-14","RM"
"5316","Felipe Anderson","1993-04-14","RW"
"5317","Alessio Romagnoli","1995-01-12","CB"
"5318","Ciro Immobile","1990-02-20","FW"
"5319","Mattia Zaccagni","1995-06-16","LM"
"5320","Mattia Zaccagni","1995-06-16","LW"
"5321","Sergej Milinković-Savić","1995-02-27","CM"
"5322","Sergej Milinković-Savić","1995-02-27","RM"
"5323","Manuel Lazzari","1993-11-29","RB"
"5324","Danilo Cataldi","1994-08-06","CM"
"5325","Adam Marušić","1992-10-16","LB"
"5326","Toma Bašić","1996-11-24","LM"
"5327","Ivan Provedel","1994-03-17","GK"
"5328","Matías Vecino","1991-08-24","CM"
"5329","Luis Alberto","1992-09-27","CM"
"5330","Matteo Cancellieri","2002-02-12","RM"
"5331","Elseid Hysaj","1994-02-20","RB"
"5332","Łukasz Skorupski","1991-05-05","GK"
"5333","Adama Soumaoro","1992-06-17","CB"
"5334","Nicolás Domínguez","1998-06-28","CM"
"5335","Marko Arnautović","1989-04-18","FW"
"5336","Nicola Sansone","1991-09-10","FW"
"5337","Gary Medel","1987-08-03","CB"
"5338","Roberto Soriano","1991-02-08","AM"
"5339","Roberto Soriano","1991-02-08","FW"
"5340","Charalambos Lykogiannis","1993-10-22","CB"
"5341","Lorenzo De Silvestri","1988-05-22","WB"
"5342","Lorenzo De Silvestri","1988-05-22","CB"
"5343","Jerdy Schouten","1997-01-11","CM"
"5344","Andrea Cambiaso","2000-02-20","WB"
"5345","Kevin Bonifazi","1996-05-18","CB"
"5346","Michel Aebischer","1997-01-05","CM"
"5347","Michel Aebischer","1997-01-05","FW"
"5348","Denso Kasius","2002-10-06","WB"
"5349","Emanuel Vignato","2000-08-23","WB"
"5350","Musa Barrow","1998-11-14","FW"
"5351","Bartłomiej Drągowski","1997-08-19","GK"
"5352","Mehdi Bourabia","1991-08-07","CM"
"5353","Daniele Verde","1996-06-19","FW"
"5354","Emmanuel Gyasi","1994-01-11","WB"
"5355","Arkadiusz Reca","1995-06-17","WB"
"5356","Jakub Kiwior","2000-02-15","CB"
"5357","M'Bala Nzola","1996-08-17","FW"
"5358","Simone Bastoni","1996-11-04","CM"
"5359","Simone Bastoni","1996-11-04","WB"
"5360","Mattia Caldara","1994-05-05","CB"
"5361","Kevin Agudelo","1998-11-14","CM"
"5362","Kevin Agudelo","1998-11-14","FW"
"5363","Dimitris Nikolaou","1998-08-13","CB"
"5364","Emil Holm","2000-05-12","WB"
"5365","Jacopo Sala","1991-12-05","CM"
"5366","Albin Ekdal","1989-07-27","CM"
"5367","Mikael Ellertsson","2002-03-11","CM"
"5368","Dávid Strelec","2001-04-03","FW"
"5369","Guglielmo Vicario","1996-10-06","GK"
"5370","Sam Lammers","1997-04-29","FW"
"5371","Liam Henderson","1996-04-24","RM"
"5372","Nedim Bajrami","1999-02-28","AM"
"5373","Răzvan Marin","1996-05-22","CM"
"5374","Mattia Destro","1991-03-20","FW"
"5375","Filippo Bandinelli","1995-03-29","LM"
"5376","Petar Stojanović","1995-10-07","RB"
"5377","Sebastiano Luperto","1996-09-05","CB"
"5378","Ardian Ismajli","1996-09-29","CB"
"5379","Fabiano Parisi","2000-11-08","LB"
"5380","Martin Satriano","2001-02-19","FW"
"5381","Jacopo Fazzini","2003-03-16","LM"
"5382","Nicolò Cambiaghi","2000-12-27","RM"
"5383","Luigi Sepe","1991-05-08","GK"
"5384","Dylan Bronn","1995-06-19","CB"
"5385","Federico Bonazzoli","1997-05-20","FW"
"5386","Tonny Vilhena","1995-01-03","CM"
"5387","Erik Botheim","2000-01-10","FW"
"5388","Federico Fazio","1987-03-17","CB"
"5389","Lassana Coulibaly","1996-04-09","CM"
"5390","Grigoris Kastanos","1998-01-30","CM"
"5391","Norbert Gyömbér","1992-07-02","CB"
"5392","Pasquale Mazzocchi","1995-07-27","WB"
"5393","Antonio Candreva","1987-02-28","WB"
"5394","Junior Sambia","1996-09-06","CM"
"5395","Junior Sambia","1996-09-06","WB"
"5396","Franck Ribéry","1983-04-07","AM"
"5397","Franck Ribéry","1983-04-07","CM"
"5398","Diego Valencia","2000-01-14","WB"
"5399","Diego Valencia","2000-01-14","FW"
"5400","Julian Kristoffersen","1997-05-09","FW"
"5401","Rui Patrício","1988-02-15","GK"
"5402","Rick Karsdorp","1995-02-11","WB"
"5403","Roger Ibanez","1998-11-23","CB"
"5404","Bryan Cristante","1995-03-03","CM"
"5405","Chris Smalling","1989-11-22","CB"
"5406","Lorenzo Pellegrini","1996-06-18","CM"
"5407","Lorenzo Pellegrini","1996-06-18","FW"
"5408","Lorenzo Pellegrini","1996-06-18","AM"
"5409","Tammy Abraham","1997-10-02","FW"
"5410","Paulo Dybala","1993-11-15","AM"
"5411","Paulo Dybala","1993-11-15","FW"
"5412","Nicolò Zaniolo","1999-07-02","AM"
"5413","Gianluca Mancini","1996-04-16","CB"
"5414","Leonardo Spinazzola","1993-03-24","WB"
"5415","Nemanja Matić","1988-07-31","CM"
"5416","Georginio Wijnaldum","1990-11-11","CM"
"5417","Stephan El Shaarawy","1992-10-26","FW"
"5418","Lorenzo Montipò","1996-02-20","GK"
"5419","Bruno Amione","2002-01-03","CB"
"5420","Davide Faraoni","1991-10-25","WB"
"5421","Darko Lazović","1990-09-15","WB"
"5422","Thomas Henry","1994-09-20","FW"
"5423","Kevin Lasagna","1992-08-09","FW"
"5424","Ivan Ilić","2001-03-16","CM"
"5425","Martin Hongla","1998-03-16","CM"
"5426","Koray Günter","1994-08-16","CB"
"5427","Paweł Dawidowicz","1995-05-20","CB"
"5428","Adrien Tameze","1994-02-04","CM"
"5429","Antonín Barák","1994-12-03","AM"
"5430","Milan Đurić","1990-05-22","FW"
"5431","Roberto Piccoli","2001-01-26","FW"
"5432","Panagiotis Retsos","1998-08-09","CB"
"5433","Alex Meret","1997-03-21","GK"
"5434","Kim Min-jae","1996-11-14","CB"
"5435","Mário Rui","1991-05-27","LB"
"5436","Victor Osimhen","1998-12-29","FW"
"5437","Hirving Lozano","1995-07-30","RW"
"5438","Amir Rrahmani","1994-02-24","CB"
"5439","Piotr Zieliński","1994-05-20","LM"
"5440","Giovanni Di Lorenzo","1993-08-03","RB"
"5441","Stanislav Lobotka","1994-11-25","CM"
"5442","Khvicha Kvaratskhelia","2001-02-11","LW"
"5443","Andre-Frank Zambo Anguissa","1995-11-16","RM"
"5444","Elif Elmas","1999-09-24","LM"
"5445","Elif Elmas","1999-09-24","LW"
"5446","Mathías Olivera","1997-10-31","LB"
"5447","Matteo Politano","1993-08-02","RW"
"5448","Alessio Zerbin","1999-03-03","LW"
"5449","Adam Ounas","1996-11-10","FW"
"5450","Mattia Perin","1992-11-09","GK"
"5451","Gleison Bremer","1997-03-17","CB"
"5452","Manuel Locatelli","1998-01-08","CM"
"5453","Danilo","1991-07-15","RB"
"5454","Weston McKennie","1998-08-28","CM"
"5455","Weston McKennie","1998-08-28","LM"
"5456","Weston McKennie","1998-08-28","RW"
"5457","Dušan Vlahović","2000-01-28","FW"
"5458","Juan Cuadrado","1988-05-25","LW"
"5459","Juan Cuadrado","1988-05-25","RM"
"5460","Alex Sandro","1991-01-26","LB"
"5461","Leonardo Bonucci","1987-05-01","CB"
"5462","Ángel Di María","1988-02-14","RW"
"5463","Ángel Di María","1988-02-14","FW"
"5464","Denis Zakaria","1996-11-19","CM"
"5465","Mattia De Sciglio","1992-10-19","LB"
"5466","Nicolò Rovella","2001-12-04","CM"
"5467","Filip Kostić","1992-10-31","LW"
"5468","Fabio Miretti","2003-08-03","CM"
"5469","Matìas Soulé","2003-04-15","RW"
"5470","Andrea Consigli","1987-01-27","GK"
"5471","Kaan Ayhan","1994-11-10","CB"
"5472","Rogério","1998-01-13","LB"
"5473","Matheus Henrique","1997-12-19","CM"
"5474","Domenico Berardi","1994-08-01","RW"
"5475","Gian Marco Ferrari","1992-02-15","CB"
"5476","Davide Frattesi","1999-10-22","RM"
"5477","Mert Müldür","1999-04-03","RB"
"5478","Kristian Thorstvedt","1999-03-13","LM"
"5479","Giorgos Kyriakopoulos","1996-02-05","LW"
"5480","Grégoire Defrel","1991-06-17","FW"
"5481","Abdou Harroui","1998-01-13","LM"
"5482","Andrea Pinamonti","1999-05-19","FW"
"5483","Emil Ceide","2001-09-03","RM"
"5484","Giacomo Raspadori","2000-02-18","LW"
"5485","Giacomo Raspadori","2000-02-18","FW"
"5486","Jeremy Toljan","1994-08-08","RB"
"5487","Alessandro Buongiorno","1999-06-06","CB"
"5488","Saša Lukić","1996-08-12","CM"
"5489","Pietro Pellegri","2001-03-16","FW"
"5490","Demba Seck","2001-02-09","AM"
"5491","Matías Vecino","1991-08-24","LM"
"5492","Marcos Antônio","2000-06-12","CM"
"5493","Pedro","1987-07-28","RW"
"5494","Pedro","1987-07-28","LW"
"5495","Luis Alberto","1992-09-27","RM"
"5496","Matteo Cancellieri","2002-02-12","RW"
"5497","Adam Masina","1994-01-02","CB"
"5498","Iyenoma Udogie","2002-11-28","WB"
"5499","Nehuén Pérez","2000-06-23","WB"
"5500","Jaka Bijol","1999-02-05","CB"
"5501","Tolgay Arslan","1990-08-16","FW"
"5502","Ivan Radovanović","1988-08-28","CM"
"5503","Giulio Maggiore","1998-03-12","CM"
"5504","Antonio Candreva","1987-02-28","CM"
"5505","Domagoj Bradarić","1999-12-10","WB"
"5506","Diego Valencia","2000-01-14","CM"
"5507","Boulaye Dia","1996-11-15","FW"
"5508","Roberto Gagliardini","1994-04-07","CM"
"5509","Joaquín Correa","1994-08-13","FW"
"5510","Kristjan Asllani","2002-03-09","CM"
"5511","Bartłomiej Drągowski","1997-08-18","GK"
"5512","Petko Hristov","1999-03-01","CB"
"5513","Viktor Kovalenko","1996-02-14","CM"
"5514","Matheus Henrique","1997-12-19","LM"
"5515","Maxime Lopez","1997-12-04","CM"
"5516","Martin Erlic","1998-01-24","CB"
"5517","Kaan Ayhan","1994-11-10","LW"
"5518","Abdou Harroui","1998-01-13","RM"
"5519","Kristoffer Askildsen","2001-01-08","LM"
"5520","Þórir Jóhann Helgason","2000-09-27","RM"
"5521","Marcin Listkowski","1998-02-10","RW"
"5522","Liam Henderson","1996-04-24","LM"
"5523","Alberto Grassi","1995-03-07","LM"
"5524","Koni De Winter","2002-06-12","CB"
"5525","Martin Satriano","2001-02-19","AM"
"5526","Nicolò Cambiaghi","2000-12-27","FW"
"5527","Nicolas Haas","1996-01-23","RM"
"5528","Jonathan Ikone","1998-05-02","RW"
"5529","Aleksa Terzić","1999-08-17","LB"
"5530","Arthur","1998-04-25","FW"
"5531","Alfred Duncan","1993-03-09","LM"
"5532","Elif Elmas","1999-09-24","CM"
"5533","Matteo Politano","1993-08-02","CM"
"5534","Alessio Zerbin","1999-03-03","RW"
"5535","Stefano Sensi","1995-08-05","CM"
"5536","Andrea Ranocchia","1988-02-16","CB"
"5537","Christian Gytkjær","1990-05-06","FW"
"5538","Valentin Antov","2000-11-08","CB"
"5539","Andrea Colpani","1999-05-11","WB"
"5540","Salvatore Molina","1992-01-01","WB"
"5541","Riccardo Orsolini","1997-01-23","FW"
"5542","Charalambos Lykogiannis","1993-10-22","WB"
"5543","Emanuel Vignato","2000-08-23","AM"
"5544","Diego Coppola","2003-12-28","CB"
"5545","Miguel Veloso","1986-05-11","CM"
"5546","Filippo Terracciano","2003-02-08","WB"
"5547","Teun Koopmeiners","1998-02-28","AM"
"5548","Merih Demiral","1998-03-05","CB"
"5549","Ademola Lookman","1997-10-20","AM"
"5550","Giorgio Scalvini","2003-12-11","CM"
"5551","Giorgio Scalvini","2003-12-11","AM"
"5552","Sandro Tonali","2000-05-07","DM"
"5553","Alessandro Florenzi","1991-03-11","RB"
"5554","Nemanja Matić","1988-07-31","AM"
"5555","Zeki Çelik","1997-02-16","WB"
"5556","Nicola Zalewski","2002-01-23","WB"
"5557","Stephan El Shaarawy","1992-10-26","AM"
"5558","Emanuele Valeri","1998-12-07","WB"
"5559","Emanuel Aiwum","2000-12-24","CB"
"5560","Luka Lochoshvili","1998-05-29","CB"
"5561","Jaime Báez","1995-04-25","WB"
"5562","Daniel Ciofani","1985-07-30","CB"
"5563","Cristian Buonaiuto","1992-12-28","AM"
"5564","Frank Tsadjout","1999-07-28","FW"
"5565","Abdelhamid Sabiri","1996-11-27","LM"
"5566","Gonzalo Villar","1998-03-23","DM"
"5567","Valerio Verre","1994-01-11","CM"
"5568","Fabio Depaoli","1997-04-23","CM"
"5569","Fabio Quagliarella","1983-01-31","FW"
"5570","Nicola Murru","1994-12-16","LB"
"5571","Weston McKennie","1998-08-28","RM"
"5572","Juan Cuadrado","1988-05-25","RW"
"5573","Daniele Rugani","1994-07-29","CB"
"5574","Adrien Rabiot","1995-04-03","LM"
"5575","Adrien Rabiot","1995-04-03","RM"
"5576","Moise Kean","2000-02-28","RW"
"5577","Fabio Miretti","2003-08-03","LM"
"5578","Luca Caldirola","1991-02-01","CB"
"5579","Andrea Colpani","1999-05-11","CM"
"5580","Carlos","1999-01-07","WB"
"5581","Luca Marrone","1990-03-28","CB"
"5582","Pepín","1996-08-13","CM"
"5583","Valentin Antov","2000-11-08","CM"
"5584","Matteo Pessina","1997-04-20","CM"
"5585","Patrick Ciurria","1995-02-09","WB"
"5586","Roberto Pereyra","1991-01-07","WB"
"5587","Tolgay Arslan","1990-08-16","CM"
"5588","Enzo Ebosse","1999-03-11","WB"
"5589","Ilija Nestorovski","1990-03-12","FW"
"5590","Luis Alberto","1992-09-27","LM"
"5591","Lautaro Martínez","1997-08-21","FW"
"5592","Joaquín Correa","1994-08-13","CM"
"5593","Wojciech Szczęsny","1990-04-18","GK"
"5594","Mattia De Sciglio","1992-10-19","RB"
"5595","Manuel Locatelli","1998-01-08","DM"
"5596","Danilo","1991-07-15","CB"
"5597","Fabio Miretti","2003-08-03","AM"
"5598","Adrien Rabiot","1995-04-03","DM"
"5599","Moise Kean","2000-02-28","FW"
"5600","Denis Zakaria","1996-11-19","DM"
"5601","Rick Karsdorp","1995-02-11","RB"
"5602","Bryan Cristante","1995-03-03","DM"
"5603","Nemanja Matić","1988-07-31","DM"
"5604","Paulo Dybala","1993-11-15","RW"
"5605","Zeki Çelik","1997-02-16","RB"
"5606","Marash Kumbulla","2000-02-08","CB"
"5607","Edoardo Bove","2002-05-16","CM"
"5608","Edoardo Bove","2002-05-16","AM"
"5609","Nicola Zalewski","2002-01-23","LB"
"5610","Stephan El Shaarawy","1992-10-26","LW"
"5611","Daniel Ciofani","1985-07-30","CM"
"5612","Giacomo Quagliata","2000-02-19","CB"
"5613","Perr Schuurs","1999-11-26","CB"
"5614","Samuele Ricci","2001-08-20","CM"
"5615","Saša Lukić","1996-08-12","AM"
"5616","Mërgim Vojvoda","1995-02-01","WB"
"5617","Fodé Ballo-Touré","1997-01-02","LB"
"5618","Yacine Adli","2000-07-28","DM"
"5619","Tommaso Pobega","1999-07-15","AM"
"5620","Matteo Gabbia","1999-10-21","CB"
"5621","Jhon Lucumí","1998-06-26","CB"
"5622","Emanuel Vignato","2000-08-23","CM"
"5623","Lewis Ferguson","1999-08-24","CM"
"5624","Roberto Soriano","1991-02-08","CM"
"5625","Viktor Kovalenko","1996-02-14","FW"
"5626","Emil Ceide","2001-09-03","LW"
"5627","Kristian Thorstvedt","1999-03-13","RM"
"5628","Grigoris Kastanos","1998-01-30","WB"
"5629","Lorenzo Pirola","2002-02-20","CB"
"5630","Tomás Rincón","1988-01-13","RM"
"5631","Abdelhamid Sabiri","1996-11-27","LW"
"5632","Ronaldo Vieira","1998-07-19","MF"
"5633","Manolo Gabbiadini","1991-11-26","RW"
"5634","Gerard Yepes","2002-08-25","RW"
"5635","Federico Ceccherini","1992-05-10","CB"
"5636","Josh Doig","2002-05-18","WB"
"5637","Isak Hien","1999-01-13","CB"
"5638","Alessandro Cortinovis","2001-01-24","CM"
"5639","Rafael Tolói","1990-10-10","LB"
"5640","Teun Koopmeiners","1998-02-28","DM"
"5641","Marten de Roon","1991-03-29","DM"
"5642","Ruslan Malinovskyi","1993-05-03","RW"
"5643","Hans Hateboer","1994-01-09","RB"
"5644","Joakim Mæhle","1997-05-19","FW"
"5645","Luis Muriel","1991-04-16","LW"
"5646","Jeremie Boga","1997-01-02","AM"
"5647","Éderson","1999-07-07","AM"
"5648","Nadir Zortea","1999-06-19","RB"
"5649","Marin Pongračić","1997-09-11","CB"
"5650","Kristijan Bistrović","1998-04-09","LM"
"5651","Joan Gonzàlez","2002-02-01","RM"
"5652","Federico Di Francesco","1994-06-14","RW"
"5653","Marcin Listkowski","1998-02-10","LW"
"5654","Alexis Blin","1996-09-15","RM"
"5655","Tommaso Baldanzi","2003-03-23","AM"
"5656","Alberto Grassi","1995-03-07","RM"
"5657","Nedim Bajrami","1999-02-28","FW"
"5658","Tyronne Ebuehi","1995-12-16","RB"
"5659","Nicolas Haas","1996-01-23","LM"
"5660","Giacomo Bonaventura","1989-08-21","RM"
"5661","Antonín Barák","1994-12-03","LM"
"5662","Youssef Maleh","1998-08-22","RM"
"5663","Igor","1998-02-07","CB"
"5664","Piotr Zieliński","1994-05-20","AM"
"5665","Stanislav Lobotka","1994-11-25","DM"
"5666","Andre-Frank Zambo Anguissa","1995-11-16","DM"
"5667","Elif Elmas","1999-09-24","AM"
"5668","Giovanni Simeone","1995-07-05","FW"
"5669","Tanguy Ndombele","1996-12-27","DM"
"5670","Rogério","1998-01-13","LW"
"5671","Riccardo Marchizza","1998-03-26","LB"
"5672","Agustín Álvarez Martínez","2001-05-18","FW"
"5673","Grégoire Defrel","1991-06-17","RW"
"5674","Simon Kjær","1989-03-25","CB"
"5675","Yacine Adli","2000-07-28","FW"
"5676","Raoul Bellanova","2000-05-16","WB"
"5677","Danilo D'Ambrosio","1988-09-08","CB"
"5678","Santiago Ascacíbar","1997-02-24","AM"
"5679","Giacomo Quagliata","2000-02-19","WB"
"5680","David Okereke","1997-08-28","FW"
"5681","Samuel Di Carmine","1988-09-28","FW"
"5682","Michele Castagnetti","1989-12-27","CB"
"5683","Andrea Belotti","1993-12-20","FW"
"5684","Warren Bondo","2003-09-15","CM"
"5685","Patrick Ciurria","1995-02-09","FW"
"5686","Abdelhamid Sabiri","1996-11-27","AM"
"5687","Filip Đuričić","1992-01-30","CM"
"5688","Francesco Caputo","1987-08-06","RM"
"5689","Manolo Gabbiadini","1991-11-26","FW"
"5690","Mario Gila","2000-08-28","CB"
"5691","Kingsley Ehizibue","1995-05-25","WB"
